商品排名名稱,營業價格,地址,官方網站
【16位】La Famille「シフォンケーキ」,1カット　240円,池袋駅周辺　東京都豊島区西池袋3-4-6 今村ビル1F,http://www.ikesen.net/cafe/La%20Famille/index.html
【15位】ミルフィユメゾン フランセ「ミルフィユスペシャリテ」,"4個入り　1,080円",銀座駅　松屋銀座B1F,http://millefeuillemaison.jp
【14位】仁々木「苺大福」,1個 330円,新宿駅　NEWoman（ニュウマン）エキナカ 2F,http://millefeuillemaison.jp
【13位】La Terre saison（ラ テール セゾン）「大地のプリン“ウ・オ・レ”」,1個 324円,渋谷駅　東急フードショー B1F,https://www.laterre.com/patisserie/
【12位】アンリ・シャルパンティエ「Wチーズケーキ」,"1個　1,296円",渋谷駅　渋谷マークシティ B1F,http://www.henri-charpentier.com/products/cake/452/
【11位】RINGO「焼きたてカスタードアップルパイ」,1個　399円（税込）,池袋駅周辺　東京都豊島区南池袋1-28-2,https://ringo-applepie.com
【10位】日本橋錦豊琳「かりんとう」,野菜かりんとう 60g 340円（税込）,東京駅　グランスタ B1F,https://ringo-applepie.com
【9位】キィニョン「スコーン」,"5個　1,080円",上野駅　エキュート上野 3F,https://ringo-applepie.com
【8位】八天堂「くりーむパン」,1個　210円,品川駅　エキュート品川サウス 1F,https://ringo-applepie.com
【7位】プレスバターサンド「バターサンド」," 5個入り　1,000円（税込）",東京駅構内南通路,https://ringo-applepie.com
【6位】N.Y.キャラメルサンド「N.Y.C.SAND（ニューヨークシティサンド）」,4枚　540円,羽田空港 第1旅客ターミナル2F　東京食賓館[Eゲート前],https://ringo-applepie.com
【5位】ねんりん家 銀座本店「はちみつ香マウントバーム」,1本入　756円,銀座駅周辺　東京都中央区銀座5丁目6-15 座STONE［ザ・ストーン］1F,https://www.nenrinya.jp
【4位】アンド ザ フリット「ドライフリット」,1袋 450円,渋谷駅　渋谷ヒカリエShinQs B2F,http://andthefriet.com/driedfriet/
【3位】Butter Butler（バターバトラー）「バターフィナンシェ」,4個 864円,新宿駅　NEWoman（ニュウマン）エキナカ 2F,http://andthefriet.com/driedfriet/
【2位】かみなり舎「ニューヨークパーフェクトチーズ」,"8個入り　1,080円（税込）",東京駅構内南通路,なし
【1位】ザ・メープルマニア「メープルバタークッキー」,9枚入り　920円 （税込）,東京駅　グランスタ B1F,なし
【100位】豊島屋「鳩サブレー」,5枚入　648円,品川駅　エキュート品川サウス 1F,なし
【99位】浅草花月堂「じゃんぼメロンパン」,"5個　1,000円",東京都台東区浅草2-7-13,https://asakusa-kagetudo.com
【98位】和楽紅屋（わらくべにや）「KAWAII パンダクッキー」,8個入　500円,上野駅　エキュート上野 3F,http://www.waraku-beniya.jp/shopdetail/000000000041/
【97位】LUPICIA「ジャックと豆の木」,50g　920円,東京スカイツリー　東京ソラマチ 1F,https://www.lupicia.com/shop/lp.aspx
【96位】空いろ「つき」,"8個　2,096円",池袋駅 西武百貨店池袋本店 B1F,https://www.lupicia.com/shop/lp.aspx
【95位】シレトコ ファクトリー「恋するコパンダ」,1箱　950円,上野駅　エキュート上野 3F,http://siretoco23.com
【94位】宗家 源 吉兆庵 「うさぎさん」,5個入 648円,浅草駅　エキミセ 1F,http://www.kitchoan.jp/online_shop/
【93位】メサージュ・ド・ローズ「コーン・フルーリ」,"6個入り　1,080円(税込)",東京駅 大丸東京 1F,http://wp.mesrose.com/
【92位】ロリオリ 365 by アニバーサリー「丸ごとグレープフルーツゼリー」,1個　756円,新宿駅　伊勢丹 B1F,https://www.anniversary-web.co.jp/archives/tag/グレープフルーツ
【91位】麻布かりんと「麻布かりんと」,1袋　370円,羽田空港　第1旅客ターミナル 2F PIER 4,http://www.azabukarinto.com/shopbrand/karinto/
【90位】菓匠 青柳正家「菊最中」,2個　573円,浅草駅　エキミセ 1F,https://www.aoyagiseike.jp/shop/
【89位】餡舎ひよ子「赤ちゃんパンダのカスタード」,1個　124円,上野駅　エキュート上野 3F,http://www.tokyo-hiyoko.co.jp/shop/anya.html
【88位】東京ばな奈パンダ「バナナヨーグルト味、見ぃつけたっ」,4個入　515円(税込),上野駅　エキュート上野 3F,http://www.tokyo-hiyoko.co.jp/shop/anya.html
【87位】パティスリー・サダハル・アオキ・パリ「東京焼きマカロンショコラ」,1個　401円（税込）,渋谷駅　渋谷ヒカリエShinQs B2F,http://www.sadaharuaoki.jp/newitem/467/
【86位】feve「フェーヴミックス プチ」,5袋入　800円,渋谷駅　渋谷ヒカリエShinQs B2F,http://www.sadaharuaoki.jp/newitem/467/
【85位】銀座たまや「ごまたまご」,"12個入り　1,080円（税込）",東京駅　大丸東京 1F,http://www.sadaharuaoki.jp/newitem/467/
【84位】モロゾフ「カスタードプリン」,1個　216円,新宿駅　小田急百貨店本館 B2F,http://www.morozoff.co.jp/products/pudding/
【83位】フェアリーケーキフェア「トーキョーステーションビスケット東京駅丸の内駅舎」,"10枚入り　1,500円(税込)",　東京駅　グランスタ B1F,http://www.fairycake.jp/tokyo-station-biscuits/
【82位】ワッフル・ケーキの店 エール・エル（R.L）「東京駅限定ワッフル10個セット」,"10個　1,300円(税込)",東京駅　グランスタ B1F,http://www.rl-waffle.co.jp
【81位】東京ミルクチーズ工場「ソルト＆カマンベール」,10枚入り「ソルト＆カマンベール」864円（税込）,東京駅　京葉ストリート 1F,http://www.rl-waffle.co.jp
【80位】WITTAMER（ヴィタメール）「純生ショコラ」,6個入り「ナチュレ」972円（税込）,池袋駅　西武百貨店池袋本店 B1F,https://www.wittamer.jp/products/chocolat_frais.html
【79位】candy SHOW TIME「TOKYO SKYTREE TOWN® MIX」,1袋　550円,東京ソラマチ1F,http://candy-showtime.com
【78位】福太郎「めんべい」,8枚入　480円,新宿駅　伊勢丹 B1F,http://candy-showtime.com
【77位】資生堂パーラー「マキアージュショコラ」,1個　252円,銀座駅周辺　東京都中央区銀座8-8-3 東京銀座資生堂ビル1F,https://parlour.shiseido.co.jp/ginza/shiseido_parlour_shop.html
【76位】羽田空港オリジナル「東京リッチサンド 抹茶」,6個680円,羽田空港第1旅客ターミナル 2F PIER 4,なし
【75位】ヨックモック「東京ハニーシュガー」,6個入 594円(税込),品川駅　エキュート品川サウス 1F,なし
【74位】すずめや「どら焼き」,1個　180円（税込）,池袋駅周辺　東京都豊島区南池袋2-18-5,https://www.d-suzumeya.com
【73位】東京ひよ子「焼きぽてと」,5個入　702円,羽田空港　第1旅客ターミナル 2F　東京食賓館,http://www.tokyo-hiyoko.co.jp/items/potato.html
【72位】柿の木坂 Quatre（キャトル）「うふプリン」,4個入　840円,品川駅　エキュート品川サウス 1F,http://www.quatre.co.jp/shop/
【71位】ノワ・ドゥ・ブール「サブレ・アマンド」,"1,080円",新宿駅　伊勢丹 B1F,http://noix-de-beurre.com
【70位】東京榮太郎総本舗「東京ピーセン」,　6袋　702円,羽田空港　第1旅客ターミナル 2F PIER 4,http://noix-de-beurre.com
【69位】クラブハリエ B-スタジオ「バームクーヘンmini」,1個　411円,池袋駅　東武百貨店池袋店 B1F,http://clubharie.jp/baumkuchen/
【68位】浅草シルクプリン「プレミアムシルクプリン」,1個　580円,東京都台東区駒形2-6-1,http://www.testarossacafe.net/
【67位】銀座 菊廼舎（きくのや）「冨貴寄-ふきよせ-」,"小丸缶　1,080円(税込)",渋谷駅　渋谷マークシティB1F,http://www.testarossacafe.net/
【66位】ラデュレ「マカロン」,1個　378円,銀座駅　銀座三越 B2F,http://www.laduree.jp/
【65位】両口屋是清「ささらがた」,"5本入 1,188円",渋谷駅　渋谷マークシティ B1F,http://www.ryoguchiya-korekiyo.com/products/list.php?category_id=55
【64位】赤坂柿山「慶長」,"1缶　1,080円",銀座駅　銀座三越 B2F,http://www.kakiyama.com/items/item11.html
【63位】FUKU-LABO（フクラボ）「福光あげ」,1箱　540円,渋谷駅　渋谷マークシティ B1F,http://www.kakiyama.com/fukulabo/
【62位】セバスチャン ブイエ「タルトレット」,3個　972円,池袋駅　西武百貨店池袋本店 B1F 中央A3,http://www.bouillet.jp/html/item/tartelette.html
【61位】ドルチェフェリーチェ「うえきゅんのキャンダック」,3本入　580円,上野駅　エキュート上野 3F,https://www.keyuca.com/dolce-felice/
【60位】みりん堂「スカイツリーせんべい」,1枚450円,東京スカイツリー周辺　東京都墨田区琴平1-13-7,http://mirindo.com/
【59位】ブールミッシュ「パンダのマカロン」,"5個入　1,080円",上野駅　エキュート上野 3F,http://www.boulmich.co.jp
【58位】日本茶菓SANOAH「キャラメルサンドクッキー 胡桃抹茶」,"10個入　2,484円（税込）",新宿駅　伊勢丹 B1F,http://www.n-sanoah.jp/product/itm-sta-ks
【57位】桂新堂「渋谷えびせんべい」,6枚入 648円,渋谷駅　渋谷ヒカリエShinQs B2F,http://www.keishindo.co.jp
【56位】アンデルセン「パンダ食パン」,432円,上野駅　アトレ上野 1F,http://www.andersen-net.jp
【55位】マミーズ･アン･スリール「パンダのアップルパイ」,1個　850円,上野駅　エキュート上野 3F,http://www.net-ekinaka.com/shop/g/gRNUNSWET1841-RSP5002/
【54位】ボビーユーハイム「新・品川ロール」,"1個 1,512円",品川駅　エキュート品川 1F,https://www.juchheim.co.jp/brand/
【53位】Garrett Popcorn Shops（ギャレットポップコーンショップス）「TOKYO ギフトボックス」,"5袋入り　1,800円",東京駅一番街 B1F,https://jpgarrettpopcorn.com/about/
【52位】ヨックモック「東京スカイツリー 缶 プティ シガール」,"16本　1,080円",東京スカイツリー　東京ソラマチ 4F,https://www.yokumoku.jp/yokumoku/cms/preview.php
【51位】浅草 満願堂「栗入り芋きん」,6個　778円,浅草駅　エキミセ 1F,https://www.yokumoku.jp/yokumoku/cms/preview.php
